Year	Date	Event	Significance
1202		The [Fourth Crusade](https://en.wikipedia.org/wiki/Fourth_Crusade "Fourth Crusade") sacked [Croatian](https://en.wikipedia.org/wiki/Croatia "Croatia") town of [Zadar](https://en.wikipedia.org/wiki/Zadar "Zadar") ([Italian](https://en.wikipedia.org/wiki/Italian_language "Italian language"): _Zara_), a rival of [Venice](https://en.wikipedia.org/wiki/Venice "Venice"). Unable to raise enough funds to pay to their [Venetian](https://en.wikipedia.org/wiki/Republic_of_Venice "Republic of Venice") contractors, the crusaders agreed to sack the city despite letters from [Pope Innocent III](https://en.wikipedia.org/wiki/Pope_Innocent_III "Pope Innocent III") forbidding such an action and threatening [excommunication](https://en.wikipedia.org/wiki/Excommunication "Excommunication").	[Siege of Zara](https://en.wikipedia.org/wiki/Siege_of_Zara "Siege of Zara") was the first major Crusade's action and the first attack against a Catholic city by Catholic crusaders.
1202	1 August	[Battle of Mirebeau](https://en.wikipedia.org/wiki/Battle_of_Mirebeau "Battle of Mirebeau"). [John of England](https://en.wikipedia.org/wiki/John_of_England "John of England") captures [Arthur I of Brittany](https://en.wikipedia.org/wiki/Arthur_I_of_Brittany "Arthur I of Brittany") and [Eleanor, Fair Maid of Brittany](https://en.wikipedia.org/wiki/Eleanor,_Fair_Maid_of_Brittany "Eleanor, Fair Maid of Brittany") sister of Arthur.	John secured his English throne with Arthur disappeared in 1203 and Eleanor imprisoned till her death in 1241.
1204		Sack of [Constantinople](https://en.wikipedia.org/wiki/Constantinople "Constantinople") during the [Fourth Crusade](https://en.wikipedia.org/wiki/Fourth_Crusade "Fourth Crusade").	Considered to be the beginning of the [decline](https://en.wikipedia.org/wiki/Decline_of_the_Byzantine_Empire "Decline of the Byzantine Empire") of the [Byzantine Empire](https://en.wikipedia.org/wiki/Byzantine_Empire "Byzantine Empire").
1205		[Battle of Adrianople](https://en.wikipedia.org/wiki/Battle_of_Adrianople_(1205) "Battle of Adrianople (1205)"). The Bulgarians under Emperor [Kaloyan](https://en.wikipedia.org/wiki/Kaloyan_of_Bulgaria "Kaloyan of Bulgaria") defeat [Baldwin I](https://en.wikipedia.org/wiki/Baldwin_I_of_Constantinople "Baldwin I of Constantinople").	Beginning of the decline of the [Latin Empire](https://en.wikipedia.org/wiki/Latin_Empire "Latin Empire").
1206		[Genghis Khan](https://en.wikipedia.org/wiki/Genghis_Khan "Genghis Khan") was elected as [Khagan](https://en.wikipedia.org/wiki/Khagan "Khagan") of the [Mongols](https://en.wikipedia.org/wiki/Mongols "Mongols") and the [Mongol Empire](https://en.wikipedia.org/wiki/Mongol_Empire "Mongol Empire") was established.	The Mongols would conquer much of Eurasia, changing former political borders.
1208		[Pope Innocent III](https://en.wikipedia.org/wiki/Pope_Innocent_III "Pope Innocent III") calls for the [Albigensian Crusade](https://en.wikipedia.org/wiki/Albigensian_Crusade "Albigensian Crusade") which seeks to destroy a rival form of Christianity practiced by the [Cathars](https://en.wikipedia.org/wiki/Cathar "Cathar").	
1209		The [University of Cambridge](https://en.wikipedia.org/wiki/University_of_Cambridge "University of Cambridge") is founded.	
1209		Founding of the [Franciscan Order](https://en.wikipedia.org/wiki/Franciscan_Order "Franciscan Order").	One of the more significant orders in the [Roman Catholic](https://en.wikipedia.org/wiki/Roman_Catholic "Roman Catholic") church, founded by [Saint Francis of Assisi](https://en.wikipedia.org/wiki/Saint_Francis_of_Assisi "Saint Francis of Assisi").
1212		Spanish Christians succeed in defeating the [Moors](https://en.wikipedia.org/wiki/Moors "Moors") in the long [Reconquista](https://en.wikipedia.org/wiki/Reconquista "Reconquista") campaigns, after the [Battle of Las Navas de Tolosa](https://en.wikipedia.org/wiki/Battle_of_Las_Navas_de_Tolosa "Battle of Las Navas de Tolosa").	By 1238, only the small southern [Emirate of Granada](https://en.wikipedia.org/wiki/Emirate_of_Granada "Emirate of Granada") remained under [Muslim](https://en.wikipedia.org/wiki/Muslim "Muslim") control.
1214	27 June	[Battle of Bouvines](https://en.wikipedia.org/wiki/Battle_of_Bouvines "Battle of Bouvines").	King John of England gave up his ambition to recover his continental lands.
1215	15 June	The [Magna Carta](https://en.wikipedia.org/wiki/Magna_Carta "Magna Carta") is sealed by [John of England](https://en.wikipedia.org/wiki/John_of_England "John of England").	This marks one of the first times a medieval ruler is forced to accept limits on his power.
1215		[Fourth Lateran Council](https://en.wikipedia.org/wiki/Fourth_Council_of_the_Lateran "Fourth Council of the Lateran"). Dealt with transubstantiation, papal primacy and conduct of clergy. Proclaimed that [Jews](https://en.wikipedia.org/wiki/Jews "Jews") and [Muslims](https://en.wikipedia.org/wiki/Muslims "Muslims") should wear identification marks to distinguish them from [Christians](https://en.wikipedia.org/wiki/Christians "Christians").	
1216		Papal recognition of the [Dominican Order](https://en.wikipedia.org/wiki/Dominican_Order "Dominican Order").	
1219		[Serbian Orthodox Church](https://en.wikipedia.org/wiki/Serbian_Orthodox_Church "Serbian Orthodox Church") becomes [autocephalous](https://en.wikipedia.org/wiki/Autocephalous "Autocephalous") under [St. Sava](https://en.wikipedia.org/wiki/St._Sava "St. Sava"), its first [Archbishop](https://en.wikipedia.org/wiki/Archbishop "Archbishop").	
1227	18 August	[Genghis Khan](https://en.wikipedia.org/wiki/Genghis_Khan "Genghis Khan") dies.	His kingdom is divided among his children and grandchildren: [Empire of the Great Khan](https://en.wikipedia.org/wiki/Empire_of_the_Great_Khan "Empire of the Great Khan"), [Chagatai Khanate](https://en.wikipedia.org/wiki/Chagatai_Khanate "Chagatai Khanate"), Mongolian Homeland, and the [Blue Horde](https://en.wikipedia.org/wiki/Blue_Horde "Blue Horde") and [White Horde](https://en.wikipedia.org/wiki/White_Horde "White Horde") (which would later become the [Golden Horde](https://en.wikipedia.org/wiki/Golden_Horde "Golden Horde")).
1237–1240		[Mongol invasion of Rus'](https://en.wikipedia.org/wiki/Mongol_invasion_of_Rus%27 "Mongol invasion of Rus'") resumes.	Causes the split of [Kievan Rus'](https://en.wikipedia.org/wiki/Kievan_Rus%27 "Kievan Rus'") into three components (present day [Russia](https://en.wikipedia.org/wiki/Russia "Russia"), [Ukraine](https://en.wikipedia.org/wiki/Ukraine "Ukraine"), [Belarus](https://en.wikipedia.org/wiki/Belarus "Belarus")), greatly affects various regions of raided lands in other parts of Europe; [Golden Horde](https://en.wikipedia.org/wiki/Golden_Horde "Golden Horde") formed.
1246		Election of [Güyük Khan](https://en.wikipedia.org/wiki/G%C3%BCy%C3%BCk_Khan "Güyük Khan").	Güyük ruled the [Mongol Empire](https://en.wikipedia.org/wiki/Mongol_Empire "Mongol Empire") from 1246 to 1248.
