Year	Date	Event	Significance
c. 1001		[Leif Erikson](https://en.wikipedia.org/wiki/Leif_Erikson "Leif Erikson") is to settle during the winter in present-day Canada at [L'Anse aux Meadows](https://en.wikipedia.org/wiki/L%27Anse_aux_Meadows "L'Anse aux Meadows").	[Ericson](https://en.wikipedia.org/wiki/Leif_Ericson "Leif Ericson") is to be the first European to settle in the Americas during the [Norse exploration of the Americas](https://en.wikipedia.org/wiki/Norse_exploration_of_the_Americas "Norse exploration of the Americas").
1016		[Canute the Great](https://en.wikipedia.org/wiki/Canute_the_Great "Canute the Great") becomes King of [England](https://en.wikipedia.org/wiki/England_in_the_Middle_Ages "England in the Middle Ages") after the death of [Edmund Ironside](https://en.wikipedia.org/wiki/Edmund_Ironside "Edmund Ironside"), with whom he shared the English throne.	[Danes](https://en.wikipedia.org/wiki/Danes "Danes") become kings of England for the next 26 years before the last rise of the [Anglo-Saxons](https://en.wikipedia.org/wiki/Anglo-Saxons "Anglo-Saxons") before the [Norman Conquest](https://en.wikipedia.org/wiki/Norman_conquest_of_England "Norman conquest of England").
1018		The Byzantines under [Basil II](https://en.wikipedia.org/wiki/Basil_II "Basil II") conquer Bulgaria after a bitter 50-years struggle.	Concludes the [Byzantine conquest of Bulgaria](https://en.wikipedia.org/wiki/Byzantine_conquest_of_Bulgaria "Byzantine conquest of Bulgaria").
1021		_[The Tale of Genji](https://en.wikipedia.org/wiki/The_Tale_of_Genji "The Tale of Genji")_, written by [Murasaki Shikibu](https://en.wikipedia.org/wiki/Murasaki_Shikibu "Murasaki Shikibu"), is completed sometime before this date.	It is sometimes called the world's first [novel](https://en.wikipedia.org/wiki/Novel "Novel"), the first [modern novel](https://en.wikipedia.org/wiki/Modern_novel "Modern novel"), the first [psychological novel](https://en.wikipedia.org/wiki/Psychological_fiction "Psychological fiction") or the first novel still to be considered a classic.
1025		[The Canon of Medicine](https://en.wikipedia.org/wiki/The_Canon_of_Medicine "The Canon of Medicine") is written.	Persian polymath [Avicenna](https://en.wikipedia.org/wiki/Avicenna "Avicenna") set the standard for medical textbooks through 18th century Europe.
1037		The [Great Seljuk Empire](https://en.wikipedia.org/wiki/Great_Seljuk_Empire "Great Seljuk Empire") is founded by [Tughril Beg](https://en.wikipedia.org/wiki/Tughril_Beg "Tughril Beg").	Would be a major force during the first two [Crusades](https://en.wikipedia.org/wiki/Crusades "Crusades"), and an antagonist to the Byzantine Empire over the next century.
1049		[Pope Leo IX](https://en.wikipedia.org/wiki/Pope_Leo_IX "Pope Leo IX") ascends to the papal throne.	Leo IX was the pope that excommunicated [Patriarch of Constantinople](https://en.wikipedia.org/wiki/Ecumenical_Patriarch_of_Constantinople "Ecumenical Patriarch of Constantinople"), [Michael Cerularius](https://en.wikipedia.org/wiki/Michael_Cerularius "Michael Cerularius") (who also excommunicated Leo), which caused the [Great Schism](https://en.wikipedia.org/wiki/East-West_Schism "East-West Schism").
1050		The [astrolabe](https://en.wikipedia.org/wiki/Astrolabe "Astrolabe"), an ancient tool of navigation, is first used in Europe.	Early tool of marine navigators, astrologers, astronomers.
1050		[Westminster Abbey](https://en.wikipedia.org/wiki/Westminster_Abbey "Westminster Abbey") is built.	Notable religious building in England and a burial site for English monarchs.
1054		The [East-West Schism](https://en.wikipedia.org/wiki/East-West_Schism "East-West Schism") which divided the church into [Western Catholicism](https://en.wikipedia.org/wiki/Roman_Catholic_Church "Roman Catholic Church") and [Eastern Orthodoxy](https://en.wikipedia.org/wiki/Eastern_Orthodoxy "Eastern Orthodoxy").	Tensions will vary between the Catholic and Orthodox churches throughout the [Middle Ages](https://en.wikipedia.org/wiki/Middle_Ages "Middle Ages").
1066		[William the Conqueror](https://en.wikipedia.org/wiki/William_the_Conqueror "William the Conqueror"), Duke of Normandy, invades England and becomes King after the [Battle of Hastings](https://en.wikipedia.org/wiki/Battle_of_Hastings "Battle of Hastings").	End of Anglo-Saxon rule in England and start of Norman lineage.
1067		[Pope Gregory VII](https://en.wikipedia.org/wiki/Pope_Gregory_VII "Pope Gregory VII") elevated to the papal throne.	This begins a period of church reform.
1071		The [Seljuks](https://en.wikipedia.org/wiki/Seljuks "Seljuks") under [Alp Arslan](https://en.wikipedia.org/wiki/Alp_Arslan "Alp Arslan") defeat the [Byzantine](https://en.wikipedia.org/wiki/Byzantine_Empire "Byzantine Empire") army at [Manzikert](https://en.wikipedia.org/wiki/Manzikert "Manzikert"). The [Normans](https://en.wikipedia.org/wiki/Normans "Normans") capture [Bari](https://en.wikipedia.org/wiki/Bari "Bari"), the last Byzantine possession in southern Italy.	Beginning of the end of Byzantine rule in Asia Minor.
1075		[Dictatus Papae](https://en.wikipedia.org/wiki/Dictatus_Papae "Dictatus Papae") in which [Pope Gregory VII](https://en.wikipedia.org/wiki/Pope_Gregory_VII "Pope Gregory VII") defines the powers of the pope.	Peak of the [Gregorian Reform](https://en.wikipedia.org/wiki/Gregorian_Reform "Gregorian Reform"), and an immense factor in the [Investiture Controversy](https://en.wikipedia.org/wiki/Investiture_Controversy "Investiture Controversy").
1077		Holy Roman Emperor [Henry IV](https://en.wikipedia.org/wiki/Henry_IV,_Holy_Roman_Emperor "Henry IV, Holy Roman Emperor") walks to [Canossa](https://en.wikipedia.org/wiki/Canossa "Canossa") where he stands barefoot in the snow to beg forgiveness of the Pope for his offences, and admitting defeat in the [Investiture Controversy](https://en.wikipedia.org/wiki/Investiture_Controversy "Investiture Controversy").	This helps establish Papal rule over European heads of state for another 450 years.
1077		The Construction of the [Tower of London](https://en.wikipedia.org/wiki/Tower_of_London "Tower of London") begins.	The tower of London was the ultimate keep of the British Empire.
1086		The compilation of the [Domesday Book](https://en.wikipedia.org/wiki/Domesday_Book "Domesday Book"), a great land and property survey commissioned by [William the Conqueror](https://en.wikipedia.org/wiki/William_the_Conqueror "William the Conqueror") to assess his new possessions.	This is the first such undertaking since Roman times.
1088		[University of Bologna](https://en.wikipedia.org/wiki/University_of_Bologna "University of Bologna") is formed.	Currently the oldest university in [Europe](https://en.wikipedia.org/wiki/Europe "Europe").
1095		[Pope Urban](https://en.wikipedia.org/wiki/Pope_Urban_II "Pope Urban II") issues the Crusades to capture the [Holy Land](https://en.wikipedia.org/wiki/Holy_Land "Holy Land"), and to repel the [Seljuk Turks](https://en.wikipedia.org/wiki/Seljuk_Turks "Seljuk Turks") from the [Byzantine Empire](https://en.wikipedia.org/wiki/Byzantine_Empire "Byzantine Empire") from [Alexios I Komnenos](https://en.wikipedia.org/wiki/Alexios_I_Komnenos "Alexios I Komnenos").	This would be the first of 9 Major Crusades, and a number of other crusades that would spread into the late 13th century.
1098		The [Cistercian](https://en.wikipedia.org/wiki/Cistercian "Cistercian") Order is founded.	Was a return to the original observance of the [Rule of St. Benedict](https://en.wikipedia.org/wiki/Rule_of_St._Benedict "Rule of St. Benedict").
1099		[First Crusade](https://en.wikipedia.org/wiki/First_Crusade "First Crusade"). Jerusalem is re-taken from the Muslims on the urging of [Pope Urban II](https://en.wikipedia.org/wiki/Pope_Urban_II "Pope Urban II").	This would lead to the beginning of the [Kingdom of Jerusalem](https://en.wikipedia.org/wiki/Kingdom_of_Jerusalem "Kingdom of Jerusalem"), which would last for nearly two centuries; within the era of the Crusades to the [Holy Land](https://en.wikipedia.org/wiki/Holy_Land "Holy Land").
