Year	Date	Event	Significance
c. 1400		Establishment of the [Malaccan Sultanate](https://en.wikipedia.org/wiki/Malacca_Sultanate "Malacca Sultanate").	The earliest state that was unified on what is now modern Malaysia (except Sabah and Sarawak state).
1402	July 20	[Battle of Ankara](https://en.wikipedia.org/wiki/Battle_of_Ankara "Battle of Ankara")	[Bayezid I](https://en.wikipedia.org/wiki/Bayezid_I "Bayezid I") is captured by [Tamerlane](https://en.wikipedia.org/wiki/Tamerlane "Tamerlane")'s forces, causing the [interregnum of the Ottoman Empire](https://en.wikipedia.org/wiki/Ottoman_Interregnum "Ottoman Interregnum").
1405		Chinese naval expeditions of Southeast Asia and the Indian Ocean (to Eastern Africa) begin, under the leadership of [Zheng He](https://en.wikipedia.org/wiki/Cheng_Ho "Cheng Ho").	This will be the first of seven of the [Ming Dynasty](https://en.wikipedia.org/wiki/Ming_Dynasty "Ming Dynasty")-sponsored expeditions, lasting until 1433.
1409		[Ladislaus of Naples](https://en.wikipedia.org/wiki/Ladislaus_of_Naples "Ladislaus of Naples") sells his "rights" on [Dalmatia](https://en.wikipedia.org/wiki/Dalmatia "Dalmatia") to the [Venetian Republic](https://en.wikipedia.org/wiki/Venetian_Republic "Venetian Republic") for 100,000 [ducats](https://en.wikipedia.org/wiki/Ducats "Ducats").	Dalmatia would with some interruptions remain under Venetian rule for nearly four centuries, until 1797.
1410		[Battle of Grunwald](https://en.wikipedia.org/wiki/Battle_of_Grunwald "Battle of Grunwald")	Major turning point in history of [Lithuania](https://en.wikipedia.org/wiki/Lithuania "Lithuania"), [Poland](https://en.wikipedia.org/wiki/Poland "Poland") and the [Teutonic Order](https://en.wikipedia.org/wiki/Teutonic_Order "Teutonic Order").
1415		[Kingdom of Portugal](https://en.wikipedia.org/wiki/Kingdom_of_Portugal "Kingdom of Portugal") [conquers Ceuta](https://en.wikipedia.org/wiki/Conquest_of_Ceuta "Conquest of Ceuta").	Beginning of the [Portuguese Empire](https://en.wikipedia.org/wiki/Portuguese_Empire "Portuguese Empire"). Beginning of the [Age of Discovery](https://en.wikipedia.org/wiki/Age_of_Discovery "Age of Discovery").
1415	October 25	[Battle of Agincourt](https://en.wikipedia.org/wiki/Battle_of_Agincourt "Battle of Agincourt"). [Henry V](https://en.wikipedia.org/wiki/Henry_V_of_England "Henry V of England") and his army defeat a numerically superior French army, partially because of the newly introduced [English longbow](https://en.wikipedia.org/wiki/English_longbow "English longbow").	The turning point in the [Hundred Years' War](https://en.wikipedia.org/wiki/Hundred_Years%27_War "Hundred Years' War") for 15th-century England that leads to the signing of the [Treaty of Troyes](https://en.wikipedia.org/wiki/Treaty_of_Troyes "Treaty of Troyes") five years later, making Henry V heir to the throne of France.
1417		The [Council of Constance](https://en.wikipedia.org/wiki/Council_of_Constance "Council of Constance") ends.	The Western Schism comes to a close, and elects [Pope Martin V](https://en.wikipedia.org/wiki/Pope_Martin_V "Pope Martin V") as the sole pope.
1419		[Hussite Wars](https://en.wikipedia.org/wiki/Hussite_Wars "Hussite Wars") begin after four years after the death of [Jan Hus](https://en.wikipedia.org/wiki/Jan_Hus "Jan Hus") in central Europe, dealing with [the followers of Jan Hus](https://en.wikipedia.org/wiki/Hussites "Hussites") and those against them.	Although the war was a stalemate (ended around 1434), it was another factor that[_[clarification needed](https://en.wikipedia.org/wiki/Wikipedia:Please_clarify "Wikipedia:Please clarify")_] between the Catholics and Protestants before the [Protestant Reformation](https://en.wikipedia.org/wiki/Protestant_Reformation "Protestant Reformation").
1428		[Itzcoatl](https://en.wikipedia.org/wiki/Itzcoatl "Itzcoatl"), the fourth [Mexica](https://en.wikipedia.org/wiki/Mexica "Mexica") king in [Tenochtitlán](https://en.wikipedia.org/wiki/Tenochtitlan "Tenochtitlan"), allied with [Texcoco](https://en.wikipedia.org/wiki/Texcoco_(altepetl) "Texcoco (altepetl)") and [Tlacopan](https://en.wikipedia.org/wiki/Tlacopan "Tlacopan"), defeats [Azcapotzalco](https://en.wikipedia.org/wiki/Azcapotzalco_(altepetl) "Azcapotzalco (altepetl)").	Signifies the birth of the [Aztec Empire](https://en.wikipedia.org/wiki/Aztec_Empire "Aztec Empire") and the start of an aggressive expansion lasting 90 years. Itzcoatl and his men began burning historic [hieroglyphic](https://en.wikipedia.org/wiki/Mesoamerican_writing_systems "Mesoamerican writing systems") [books](https://en.wikipedia.org/wiki/Book "Book") of conquered states, rewriting history with the Mexica at its center.
1429		[Joan of Arc](https://en.wikipedia.org/wiki/Joan_of_Arc "Joan of Arc") lifts the siege of [Orléans](https://en.wikipedia.org/wiki/Orl%C3%A9ans "Orléans") for the [Dauphin of France](https://en.wikipedia.org/wiki/Dauphin_of_France "Dauphin of France"), enabling him to eventually be crowned at [Reims](https://en.wikipedia.org/wiki/Reims "Reims").	The battle at Orléans is the first of many which ultimately drive the English from continental Europe.
1431	30 May	Trial and execution of [Joan of Arc](https://en.wikipedia.org/wiki/Joan_of_Arc "Joan of Arc").	Death of the woman who helped turn the [Hundred Years' War](https://en.wikipedia.org/wiki/Hundred_Years%27_War "Hundred Years' War") in favor of the French over the past two years.
1434		The [Medici](https://en.wikipedia.org/wiki/Medici "Medici") family rises to prominence in [Florence](https://en.wikipedia.org/wiki/Florence "Florence").	This ushers in a period of significance of the Medicis, such as bankers, popes, queens (regents) and dukes, throughout Europe (mainly [Italy](https://en.wikipedia.org/wiki/Italy "Italy"), especially the [Florentine Republic](https://en.wikipedia.org/wiki/Florentine_Republic "Florentine Republic")), over the next three centuries.
1434		[Aronolfini Portrait](https://en.wikipedia.org/wiki/Arnolfini_Portrait "Arnolfini Portrait") [Jan van Eyck](https://en.wikipedia.org/wiki/Jan_van_Eyck "Jan van Eyck")	evidence on usage of convex mirror
1438		Prince [Cusi Yupanqui](https://en.wikipedia.org/wiki/Cusi_Yapanqui "Cusi Yapanqui") becomes the first [Inca](https://en.wikipedia.org/wiki/Inca_Empire "Inca Empire") emperor.	Inca civilization begins expanding and the Inca Empire is born.
1439		[Johannes Gutenberg](https://en.wikipedia.org/wiki/Johannes_Gutenberg "Johannes Gutenberg") invents the [printing press](https://en.wikipedia.org/wiki/Printing_press "Printing press").	Literature, news, etc. becomes more accessible throughout Europe.
1442		[Battle of Szeben](https://en.wikipedia.org/wiki/Battle_of_Sibiu "Battle of Sibiu")	Third significant victory for the Hungarian forces led by [Janos Hunyadi](https://en.wikipedia.org/wiki/Janos_Hunyadi "Janos Hunyadi") over the Ottoman forces.
1443		[Sejong the Great](https://en.wikipedia.org/wiki/Sejong_the_Great "Sejong the Great") creates [Hangul](https://en.wikipedia.org/wiki/Hangul "Hangul")	Koreans gain an alphabet suited to their language
1444	November 10	[Battle of Varna](https://en.wikipedia.org/wiki/Battle_of_Varna "Battle of Varna")	Final battle of the [Crusade of Varna](https://en.wikipedia.org/wiki/Crusade_of_Varna "Crusade of Varna"); Ottomans are victorious over the Hungarian-Polish armies, and [Władysław III of Poland](https://en.wikipedia.org/wiki/W%C5%82adys%C5%82aw_III_of_Poland "Władysław III of Poland") dies.
1450		[Jack Cade's Rebellion](https://en.wikipedia.org/wiki/Jack_Cade%27s_Rebellion "Jack Cade's Rebellion")	Unsuccessful popular rebellion in South East England
1452		[Coronation of Frederick III](https://en.wikipedia.org/wiki/Frederick_III,_Holy_Roman_Emperor#Emperor "Frederick III, Holy Roman Emperor")	
1453		[Constantinople](https://en.wikipedia.org/wiki/Constantinople "Constantinople") falls to the [Ottoman Turks](https://en.wikipedia.org/wiki/Ottoman_Turks "Ottoman Turks").	End of the Byzantine Empire (or Eastern Roman Empire to some); Constantinople becomes capital of Ottoman Empire.
1453		The [Hundred Years' War](https://en.wikipedia.org/wiki/Hundred_Years%27_War "Hundred Years' War") ends.	England's once vast territory in France is now reduced to only [Calais](https://en.wikipedia.org/wiki/Calais "Calais"), which they eventually lose control of as well.
1455	May 22	[Battle of St. Albans](https://en.wikipedia.org/wiki/First_Battle_of_St._Albans "First Battle of St. Albans")	Traditionally marks the beginning of the [War of the Roses](https://en.wikipedia.org/wiki/War_of_the_Roses "War of the Roses").
1456		[Siege of Belgrade](https://en.wikipedia.org/wiki/Siege_of_Belgrade_(1456) "Siege of Belgrade (1456)")	Major Ottoman advances are halted for seven decades; last major victory for [Hunyadi](https://en.wikipedia.org/wiki/John_Hunyadi "John Hunyadi").
1459		[Smederevo](https://en.wikipedia.org/wiki/Smederevo "Smederevo") falls under the [Turks](https://en.wikipedia.org/wiki/Ottoman_Empire "Ottoman Empire")	Marks the end of the Medieval Serbian state.
1461		The [Empire of Trebizond](https://en.wikipedia.org/wiki/Empire_of_Trebizond "Empire of Trebizond") falls to the [Ottoman Turks](https://en.wikipedia.org/wiki/Ottoman_Turks "Ottoman Turks").	Last Roman outpost to be conquered by the Ottomans.
